               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.028985,            0.012832,                   0,             0.67388,             0.69663,             0.72931,             0.53349,             0.03309,           0.0050174,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.029154,            0.012638,                   0,             0.70052,             0.71629,             0.76824,             0.55605,            0.031768,           0.0045787,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.028723,            0.012676,                   0,             0.71744,             0.74175,             0.80172,             0.59616,            0.028026,            0.004387,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.02869,            0.012734,                   0,             0.74674,             0.74438,             0.79811,             0.57166,            0.032075,           0.0044342,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.027777,            0.012363,                   0,             0.70811,              0.7809,             0.80136,             0.59134,            0.032348,             0.00455,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.027622,            0.012284,                   0,             0.65465,             0.75613,              0.7437,             0.55021,             0.03207,           0.0050432,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.027679,             0.01264,                   0,             0.66113,             0.70697,             0.71205,             0.51008,            0.032557,           0.0049084,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.027306,            0.012387,                   0,             0.69572,             0.74719,             0.79168,             0.57647,            0.030113,           0.0046196,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.027668,             0.01225,                   0,             0.74843,             0.78933,             0.85186,              0.6138,            0.029368,           0.0040513,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.02735,            0.012364,                   0,              0.6878,             0.71167,             0.72054,             0.52038,            0.032733,            0.004418,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.026982,            0.012142,                   0,              0.8375,             0.72384,             0.81873,             0.60074,            0.028072,           0.0042676,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.027726,            0.011685,                   0,             0.75198,             0.77809,             0.82963,             0.63182,            0.031562,           0.0042521,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.026431,            0.011686,                   0,             0.74823,              0.7191,             0.78864,             0.58651,            0.036789,           0.0044345,                   0,            0.008383,            0.008383,            0.008383
