               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.029062,            0.013525,                   0,             0.61754,             0.73034,             0.71652,             0.51282,            0.027853,           0.0056638,                   0,           0.0085744,           0.0085744,           0.0085744
                  38,            0.029034,            0.013074,                   0,              0.5576,             0.64888,             0.58888,             0.41294,             0.03183,           0.0058213,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.028241,            0.013086,                   0,             0.62125,             0.72798,             0.68409,             0.46747,            0.030598,           0.0056109,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,            0.028675,            0.012896,                   0,             0.72432,             0.67161,             0.73581,             0.52962,            0.032147,           0.0047986,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.029035,            0.013294,                   0,             0.67717,             0.67978,             0.73266,              0.4932,            0.035578,           0.0051687,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.028461,            0.013312,                   0,             0.62286,             0.73763,             0.69824,             0.47017,            0.031725,           0.0051276,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.027936,            0.013371,                   0,             0.64311,             0.79976,             0.76549,             0.55023,            0.029571,           0.0048132,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.028756,             0.01273,                   0,             0.72979,             0.72753,             0.79144,             0.57608,            0.030293,           0.0045985,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.027501,            0.012921,                   0,             0.75076,             0.65996,             0.77938,             0.56382,            0.031553,           0.0046208,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,            0.027454,            0.012377,                   0,             0.72808,             0.75843,             0.82338,             0.59525,            0.026821,           0.0043767,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.026729,            0.012525,                   0,             0.70838,             0.78933,             0.77231,             0.56035,            0.028254,           0.0046446,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,              0.0273,            0.012347,                   0,             0.70205,             0.76776,             0.80391,             0.59826,            0.026228,           0.0043695,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.026593,            0.011985,                   0,             0.74966,             0.77528,             0.82557,             0.56986,            0.028534,           0.0042757,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,            0.027508,            0.011924,                   0,             0.71305,             0.76783,             0.77593,             0.57869,            0.024271,            0.004262,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,            0.026936,            0.011883,                   0,              0.6965,             0.76066,             0.75585,             0.54257,             0.02816,           0.0048115,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.026171,            0.011942,                   0,             0.74076,             0.80899,             0.85566,             0.64517,            0.026949,           0.0040917,                   0,           0.0079804,           0.0079804,           0.0079804
                  53,            0.026019,            0.012064,                   0,             0.78577,              0.8118,             0.86417,             0.62841,            0.027152,           0.0042347,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,            0.027077,            0.012228,                   0,             0.75695,             0.80899,             0.84645,              0.6461,            0.028363,           0.0041034,                   0,           0.0079012,           0.0079012,           0.0079012
                  55,            0.025628,             0.01139,                   0,             0.78564,             0.74123,             0.80247,             0.59003,            0.024824,           0.0044952,                   0,           0.0078616,           0.0078616,           0.0078616
                  56,            0.025915,             0.01162,                   0,             0.68531,             0.83808,             0.78258,              0.5903,            0.025747,           0.0043801,                   0,            0.007822,            0.007822,            0.007822
                  57,            0.025609,            0.011617,                   0,             0.72937,             0.74947,             0.77372,             0.57716,            0.029074,           0.0046251,                   0,           0.0077824,           0.0077824,           0.0077824
                  58,             0.02523,            0.011371,                   0,             0.81968,             0.78652,             0.85241,             0.63759,            0.030662,           0.0041241,                   0,           0.0077428,           0.0077428,           0.0077428
                  59,            0.024879,             0.01108,                   0,             0.81349,             0.76966,             0.84986,              0.6344,            0.027651,           0.0043184,                   0,           0.0077032,           0.0077032,           0.0077032
                  60,            0.025141,            0.011507,                   0,             0.78736,                0.75,             0.82254,             0.61219,            0.027309,           0.0045406,                   0,           0.0076636,           0.0076636,           0.0076636
                  61,            0.024876,            0.011336,                   0,             0.79026,             0.74088,             0.82811,             0.63225,            0.026163,           0.0044672,                   0,            0.007624,            0.007624,            0.007624
                  62,            0.024474,            0.011324,                   0,             0.81981,             0.78371,             0.85141,              0.6337,            0.027445,           0.0042972,                   0,           0.0075844,           0.0075844,           0.0075844
                  63,            0.024711,            0.010774,                   0,             0.76231,             0.78652,             0.83105,               0.647,            0.024933,           0.0041184,                   0,           0.0075448,           0.0075448,           0.0075448
                  64,            0.024578,            0.011381,                   0,             0.79095,             0.66957,             0.76915,             0.55484,            0.026599,           0.0045355,                   0,           0.0075052,           0.0075052,           0.0075052
                  65,            0.024534,            0.010417,                   0,              0.7403,             0.70464,             0.78885,             0.60076,            0.026424,           0.0045114,                   0,           0.0074656,           0.0074656,           0.0074656
                  66,            0.023929,            0.010754,                   0,             0.74035,             0.82498,             0.86213,             0.65522,              0.0265,           0.0038835,                   0,            0.007426,            0.007426,            0.007426
                  67,             0.02394,            0.011108,                   0,             0.76911,             0.81408,             0.83921,             0.62873,            0.024932,           0.0042451,                   0,           0.0073864,           0.0073864,           0.0073864
                  68,            0.023071,             0.01052,                   0,             0.78114,             0.85393,             0.88004,             0.67315,             0.02379,           0.0038514,                   0,           0.0073468,           0.0073468,           0.0073468
                  69,            0.023501,            0.010673,                   0,             0.82997,             0.79529,             0.86804,             0.66338,            0.024548,           0.0040961,                   0,           0.0073072,           0.0073072,           0.0073072
                  70,            0.024123,            0.010414,                   0,             0.70203,              0.7809,             0.77349,             0.57555,            0.027843,           0.0044982,                   0,           0.0072676,           0.0072676,           0.0072676
                  71,            0.023129,            0.011007,                   0,             0.77554,             0.78933,             0.83478,             0.65548,            0.027462,           0.0039198,                   0,            0.007228,            0.007228,            0.007228
                  72,            0.022872,            0.010499,                   0,             0.79666,             0.76685,             0.81678,             0.62931,            0.027531,           0.0042341,                   0,           0.0071884,           0.0071884,           0.0071884
