                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81232,                 1.0854,                 1.1173,                0.56812,                0.66573,                0.64264,                0.51661,                0.73409,                 1.0895,                0.98875,               0.008878,               0.008878,               0.008878
                     36,                0.81874,                 1.0817,                 1.1211,                0.59057,                0.76578,                 0.7156,                0.58021,                0.72204,                 1.0236,                0.98909,               0.008845,               0.008845,               0.008845
                     37,                 0.8227,                 1.0742,                 1.1189,                0.66708,                0.66854,                0.73635,                0.59054,                0.75767,                0.99158,                 1.0069,               0.008812,               0.008812,               0.008812
                     38,                 0.8028,                 1.0515,                 1.1165,                0.58913,                0.74438,                0.70517,                0.56769,                0.72469,                 1.0301,                 1.0007,               0.008779,               0.008779,               0.008779
                     39,                0.80123,                 1.0678,                 1.1171,                0.61841,                0.71629,                0.73372,                0.59373,                0.74256,                 1.0012,                 1.0003,               0.008746,               0.008746,               0.008746
                     40,                 0.7917,                 1.0365,                 1.1064,                0.68093,                0.71338,                0.76923,                0.61826,                0.71732,                0.96092,                0.98307,               0.008713,               0.008713,               0.008713
                     41,                0.79418,                 1.0225,                 1.1063,                0.62145,                0.70093,                0.72948,                0.58973,                0.70722,                0.98964,                  1.001,                0.00868,                0.00868,                0.00868
                     42,                0.78908,                 1.0116,                 1.1028,                0.63983,                0.75843,                0.77692,                0.61235,                0.76129,                0.95777,                0.99947,               0.008647,               0.008647,               0.008647
                     43,                0.77223,                 0.9821,                 1.0908,                 0.6545,                0.73315,                0.72919,                0.59885,                0.68639,                0.97305,                0.96261,               0.008614,               0.008614,               0.008614
                     44,                0.75362,                0.96427,                 1.0824,                0.64917,                0.73288,                0.75374,                0.61147,                0.69895,                0.94254,                0.96303,               0.008581,               0.008581,               0.008581
                     45,                0.77596,                0.95537,                 1.0978,                0.62119,                0.79494,                0.76557,                0.62347,                0.69551,                0.94026,                0.94938,               0.008548,               0.008548,               0.008548
