                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    160,                0.44832,                0.38063,                0.92528,                0.93163,                0.91292,                0.94009,                 0.8716,                0.39411,                0.39312,                0.80067,               0.004753,               0.004753,               0.004753
                    161,                0.43801,                0.37737,                0.92253,                0.91492,                0.92697,                0.93376,                0.87111,                0.40231,                 0.4046,                0.80743,                0.00472,                0.00472,                0.00472
                    162,                0.45127,                0.38567,                0.93401,                0.92152,                0.92351,                0.94464,                0.88643,                0.39675,                0.38972,                0.79756,               0.004687,               0.004687,               0.004687
                    163,                 0.4435,                0.37986,                0.92332,                0.92132,                0.89607,                0.93477,                0.87832,                0.38939,                0.39019,                0.80131,               0.004654,               0.004654,               0.004654
                    164,                 0.4388,                0.37551,                0.92267,                 0.9085,                0.92037,                 0.9165,                0.86432,                0.39261,                0.41738,                0.80293,               0.004621,               0.004621,               0.004621
                    165,                0.44153,                 0.3696,                0.92469,                0.93263,                0.89888,                0.94223,                0.89385,                0.38119,                0.37205,                0.79362,               0.004588,               0.004588,               0.004588
                    166,                0.43632,                 0.3738,                0.92335,                0.90978,                0.92135,                0.93668,                0.87833,                0.39195,                0.39286,                0.79548,               0.004555,               0.004555,               0.004555
                    167,                 0.4204,                0.35355,                0.91287,                 0.9303,                0.93258,                0.95962,                0.89704,                0.40109,                0.35068,                 0.7955,               0.004522,               0.004522,               0.004522
                    168,                0.43612,                0.35793,                0.91957,                0.93885,                0.90574,                0.95631,                0.90102,                 0.3813,                  0.345,                0.79565,               0.004489,               0.004489,               0.004489
                    169,                 0.4314,                 0.3671,                0.92149,                0.92127,                0.92032,                0.96376,                0.89936,                0.38976,                0.36128,                0.79033,               0.004456,               0.004456,               0.004456
                    170,                0.44445,                0.37683,                0.92543,                0.86475,                0.92697,                0.93121,                0.87609,                0.38989,                0.40165,                0.78868,               0.004423,               0.004423,               0.004423
                    171,                0.43207,                0.36379,                0.91657,                0.88657,                0.92978,                0.93538,                0.88049,                0.40083,                0.38712,                0.78992,                0.00439,                0.00439,                0.00439
                    172,                0.44082,                0.36213,                0.91971,                0.92787,                0.92135,                0.94466,                0.89108,                0.39534,                0.36099,                0.79334,               0.004357,               0.004357,               0.004357
                    173,                0.43328,                0.35774,                0.91762,                0.91231,                0.93512,                0.95318,                0.89048,                 0.3925,                0.37486,                0.80185,               0.004324,               0.004324,               0.004324
                    174,                  0.428,                0.35937,                0.91674,                0.92965,                0.92798,                 0.9427,                0.88684,                0.38206,                0.37518,                 0.7888,               0.004291,               0.004291,               0.004291
                    175,                0.42888,                0.35123,                0.91757,                0.94591,                0.93329,                0.95097,                0.89097,                0.37385,                0.36629,                0.78984,               0.004258,               0.004258,               0.004258
                    176,                0.41997,                0.35301,                0.92193,                0.94937,                0.92416,                0.95387,                0.90444,                0.37038,                0.36075,                0.79427,               0.004225,               0.004225,               0.004225
                    177,                0.41764,                0.35367,                0.90875,                0.95033,                0.91573,                0.95438,                0.89914,                0.38098,                 0.3486,                0.79533,               0.004192,               0.004192,               0.004192
                    178,                0.41856,                0.35065,                0.91398,                0.92862,                0.91854,                0.95204,                0.90036,                0.37343,                0.36113,                0.79259,               0.004159,               0.004159,               0.004159
                    179,                0.42083,                0.35381,                0.91833,                0.93644,                0.91054,                0.95658,                0.90734,                0.36592,                0.33985,                0.79016,               0.004126,               0.004126,               0.004126
                    180,                0.41561,                0.34744,                0.91581,                0.94482,                0.91378,                0.95273,                0.89965,                0.37218,                0.35977,                 0.7953,               0.004093,               0.004093,               0.004093
                    181,                0.41242,                0.35197,                0.90981,                0.93738,                0.92978,                0.95056,                0.89766,                0.38264,                0.36375,                0.79982,                0.00406,                0.00406,                0.00406
                    182,                0.41202,                0.33688,                0.91854,                0.92299,                0.92416,                0.94539,                0.89538,                0.36609,                0.36937,                0.78643,               0.004027,               0.004027,               0.004027
                    183,                0.40618,                0.34853,                0.91361,                0.93231,                0.88991,                0.94114,                0.88941,                0.37246,                0.40453,                0.79094,               0.003994,               0.003994,               0.003994
                    184,                0.41527,                0.34744,                0.91243,                0.93876,                0.90449,                0.94801,                0.89626,                0.38751,                0.36126,                 0.7914,               0.003961,               0.003961,               0.003961
                    185,                0.41597,                0.34233,                0.91296,                0.93553,                0.92135,                0.95968,                0.89965,                0.38864,                0.35171,                0.79193,               0.003928,               0.003928,               0.003928
                    186,                0.39752,                 0.3233,                0.90286,                0.93546,                0.91292,                0.95187,                0.89681,                0.38251,                0.34992,                0.79563,               0.003895,               0.003895,               0.003895
                    187,                0.40606,                0.33358,                0.91218,                0.94143,                0.90294,                0.94109,                0.89045,                0.36439,                 0.3555,                0.78464,               0.003862,               0.003862,               0.003862
                    188,                0.40647,                0.34153,                0.91336,                0.91334,                 0.9073,                0.94397,                0.89624,                0.35549,                0.34636,                0.78377,               0.003829,               0.003829,               0.003829
                    189,                0.40326,                0.33793,                0.91405,                0.93144,                0.92135,                 0.9612,                0.91399,                0.35156,                0.33687,                0.77483,               0.003796,               0.003796,               0.003796
                    190,                0.39625,                0.32498,                0.91039,                0.95116,                0.93258,                0.95736,                0.90136,                0.37009,                0.32501,                0.78642,               0.003763,               0.003763,               0.003763
                    191,                0.39879,                0.32182,                0.91049,                 0.9523,                0.91854,                0.94267,                0.89457,                0.35055,                 0.3216,                 0.7841,                0.00373,                0.00373,                0.00373
                    192,                0.39858,                0.33078,                0.90542,                0.92801,                0.94144,                0.95269,                0.90304,                0.35885,                0.31971,                0.78077,               0.003697,               0.003697,               0.003697
                    193,                0.38588,                0.32096,                 0.9052,                0.93473,                0.92416,                0.94369,                0.90019,                0.35128,                0.33069,                0.78422,               0.003664,               0.003664,               0.003664
                    194,                0.39264,                0.32427,                0.90818,                0.89664,                0.93258,                0.94451,                0.89946,                0.36194,                0.33831,                0.78978,               0.003631,               0.003631,               0.003631
                    195,                0.38799,                0.32467,                0.90032,                0.93777,                 0.8889,                 0.9505,                 0.9097,                0.35012,                0.35275,                0.78414,               0.003598,               0.003598,               0.003598
                    196,                0.38464,                0.31838,                0.90158,                0.93461,                0.92416,                0.95349,                0.91196,                0.36159,                 0.3301,                0.78319,               0.003565,               0.003565,               0.003565
                    197,                0.39494,                0.32283,                0.90472,                0.94662,                0.89657,                0.94147,                0.89986,                0.35028,                0.34059,                 0.7803,               0.003532,               0.003532,               0.003532
                    198,                0.39934,                0.33195,                0.90864,                0.93761,                0.92874,                 0.9469,                0.90034,                 0.3582,                0.34454,                0.78679,               0.003499,               0.003499,               0.003499
                    199,                0.38089,                0.30917,                0.90395,                0.93428,                 0.9073,                0.93824,                0.89681,                0.36373,                0.34893,                0.80757,               0.003466,               0.003466,               0.003466
                    200,                0.37938,                0.31047,                0.90447,                0.92435,                0.92674,                0.93836,                0.90268,                0.36054,                0.32992,                0.80075,               0.003433,               0.003433,               0.003433
                    201,                 0.3844,                0.31031,                0.90121,                 0.9415,                0.89888,                 0.9517,                0.90933,                0.34608,                 0.3317,                0.77998,                 0.0034,                 0.0034,                 0.0034
                    202,                0.37659,                0.31396,                0.90159,                0.93437,                0.92978,                0.94693,                0.91244,                0.33795,                0.33714,                0.78273,               0.003367,               0.003367,               0.003367
                    203,                0.36617,                0.30221,                0.90292,                0.93086,                0.90766,                0.94459,                0.90643,                0.33557,                0.34898,                0.77574,               0.003334,               0.003334,               0.003334
                    204,                0.37416,                0.31163,                0.90203,                0.92509,                0.92135,                0.94825,                0.91087,                0.34001,                0.33527,                0.78233,               0.003301,               0.003301,               0.003301
                    205,                  0.379,                0.30815,                0.90805,                0.94019,                0.92735,                0.95715,                0.92128,                0.33819,                0.31294,                0.77674,               0.003268,               0.003268,               0.003268
                    206,                0.37365,                0.30351,                0.90022,                0.94127,                0.90035,                0.94219,                0.90089,                 0.3449,                0.34985,                0.78032,               0.003235,               0.003235,               0.003235
                    207,                0.37805,                0.30096,                0.90181,                0.93741,                0.92416,                 0.9564,                0.91049,                0.35146,                0.32883,                0.77763,               0.003202,               0.003202,               0.003202
                    208,                0.37424,                0.29951,                0.89926,                0.93362,                0.91854,                0.95354,                0.91472,                0.35029,                0.31552,                0.77598,               0.003169,               0.003169,               0.003169
                    209,                0.37598,                0.29701,                0.89925,                0.92703,                0.92416,                0.94722,                0.90531,                0.35177,                  0.318,                0.78563,               0.003136,               0.003136,               0.003136
                    210,                0.36042,                0.29272,                0.89486,                0.95193,                0.91011,                0.95648,                0.91847,                0.32887,                0.31225,                0.77098,               0.003103,               0.003103,               0.003103
                    211,                0.36475,                 0.3066,                0.89064,                0.93523,                0.91573,                0.94037,                0.90996,                0.33177,                0.34698,                0.77797,                0.00307,                0.00307,                0.00307
                    212,                0.36407,                 0.2972,                0.89444,                 0.9348,                0.92633,                0.94502,                0.91454,                0.32438,                0.34806,                0.77329,               0.003037,               0.003037,               0.003037
                    213,                0.36815,                0.29474,                0.90151,                0.94569,                0.92934,                0.94966,                0.91855,                0.32864,                0.31651,                0.77367,               0.003004,               0.003004,               0.003004
                    214,                0.36903,                0.28984,                0.90437,                0.94785,                0.91904,                  0.952,                0.91637,                 0.3377,                0.31426,                 0.7755,               0.002971,               0.002971,               0.002971
                    215,                0.36712,                0.30314,                0.89764,                0.94238,                0.92135,                 0.9536,                0.91356,                0.33853,                0.31936,                0.78286,               0.002938,               0.002938,               0.002938
                    216,                0.35974,                0.29587,                0.89636,                0.92486,                 0.9382,                 0.9543,                0.91725,                0.33074,                0.31522,                0.77849,               0.002905,               0.002905,               0.002905
                    217,                0.36296,                0.29041,                0.89894,                0.93305,                0.93953,                0.95603,                0.91965,                0.32774,                0.30808,                0.77329,               0.002872,               0.002872,               0.002872
                    218,                0.35119,                0.29275,                0.89099,                0.94986,                0.92135,                0.95573,                0.91944,                0.32714,                 0.3117,                0.77241,               0.002839,               0.002839,               0.002839
                    219,                0.35645,                0.29192,                  0.896,                0.93773,                0.93064,                0.96467,                0.93117,                0.31805,                0.28963,                0.77117,               0.002806,               0.002806,               0.002806
                    220,                0.34982,                0.28545,                0.89594,                 0.9284,                0.92978,                0.95033,                0.92278,                0.30868,                0.30431,                0.76859,               0.002773,               0.002773,               0.002773
                    221,                0.35314,                0.28496,                0.89693,                0.91459,                 0.9382,                0.95082,                0.91725,                0.31689,                0.31655,                 0.7675,                0.00274,                0.00274,                0.00274
                    222,                0.35181,                0.28573,                0.89334,                0.94068,                0.92416,                0.95349,                0.92166,                 0.3171,                0.31426,                0.76817,               0.002707,               0.002707,               0.002707
                    223,                0.35207,                0.28505,                0.89455,                 0.9343,                0.91877,                0.95549,                0.91998,                0.32383,                0.31803,                0.77453,               0.002674,               0.002674,               0.002674
                    224,                0.35161,                0.27836,                 0.8917,                0.95028,                0.91275,                0.95664,                0.92322,                0.31795,                 0.2986,                0.77088,               0.002641,               0.002641,               0.002641
                    225,                0.36137,                0.28673,                0.90202,                0.94726,                0.92135,                0.95571,                0.92374,                0.30873,                0.30062,                0.76876,               0.002608,               0.002608,               0.002608
                    226,                0.33809,                0.27312,                0.89189,                0.92887,                0.91702,                0.95203,                0.91843,                0.31638,                0.32401,                0.77358,               0.002575,               0.002575,               0.002575
                    227,                0.34529,                0.27902,                0.89495,                0.92905,                0.92978,                0.94413,                0.91872,                0.31361,                 0.3188,                0.77014,               0.002542,               0.002542,               0.002542
                    228,                 0.3513,                0.27776,                0.89362,                0.94732,                0.91573,                0.94904,                0.92012,                0.30828,                 0.3089,                0.76928,               0.002509,               0.002509,               0.002509
                    229,                0.34181,                0.27167,                0.89351,                0.94024,                0.92978,                0.95502,                0.92809,                 0.3001,                0.29819,                0.76682,               0.002476,               0.002476,               0.002476
                    230,                0.34661,                0.28359,                0.89676,                0.92165,                0.92978,                0.95313,                0.92115,                0.30292,                0.31127,                0.77326,               0.002443,               0.002443,               0.002443
                    231,                0.33127,                0.27303,                0.88542,                 0.9446,                0.91007,                0.95069,                0.92135,                0.30487,                0.32663,                0.77087,                0.00241,                0.00241,                0.00241
                    232,                0.33357,                0.27148,                 0.8846,                 0.9444,                0.91854,                 0.9455,                0.91918,                0.30216,                0.32026,                 0.7756,               0.002377,               0.002377,               0.002377
                    233,                0.34147,                0.28156,                0.89107,                0.93424,                0.91785,                 0.9345,                0.90825,                0.30793,                0.34051,                0.78136,               0.002344,               0.002344,               0.002344
                    234,                0.33672,                 0.2719,                0.88685,                0.94318,                0.93248,                0.93702,                0.91259,                0.30534,                0.31491,                0.78358,               0.002311,               0.002311,               0.002311
                    235,                 0.3397,                0.27067,                0.88818,                0.93787,                0.92697,                 0.9426,                0.91581,                0.29611,                0.31465,                0.77227,               0.002278,               0.002278,               0.002278
                    236,                0.34084,                0.27136,                0.89448,                0.94298,                0.90449,                0.95581,                0.92358,                 0.2968,                0.31182,                0.76603,               0.002245,               0.002245,               0.002245
                    237,                0.33591,                0.26821,                0.88984,                0.93113,                0.91854,                0.96314,                0.93079,                0.29326,                0.31671,                0.75922,               0.002212,               0.002212,               0.002212
                    238,                0.31849,                0.26524,                 0.8851,                0.94231,                0.91011,                0.96053,                0.93013,                0.28982,                0.29548,                0.76447,               0.002179,               0.002179,               0.002179
                    239,                0.32569,                0.26192,                0.89171,                 0.9395,                0.91602,                0.95536,                0.92523,                0.29218,                0.29637,                0.76738,               0.002146,               0.002146,               0.002146
                    240,                0.32471,                0.25659,                0.88964,                0.95371,                0.91573,                0.95837,                0.93079,                0.29202,                0.28444,                0.76761,               0.002113,               0.002113,               0.002113
                    241,                0.32568,                0.26139,                0.88913,                0.93496,                0.92978,                0.95795,                0.93206,                0.28715,                0.28912,                0.76443,                0.00208,                0.00208,                0.00208
                    242,                0.33591,                0.26609,                0.88663,                0.95099,                 0.9265,                0.95744,                0.92893,                0.28605,                0.28503,                0.76349,               0.002047,               0.002047,               0.002047
                    243,                0.31518,                 0.2545,                0.87874,                0.95881,                0.92135,                0.95223,                0.92452,                0.30077,                0.29702,                0.76837,               0.002014,               0.002014,               0.002014
                    244,                0.32224,                 0.2536,                0.88891,                0.95773,                0.91573,                0.95252,                0.92566,                 0.3036,                0.29193,                0.76749,               0.001981,               0.001981,               0.001981
                    245,                0.32711,                0.26776,                0.88264,                0.95598,                0.91499,                0.95766,                0.92991,                0.29365,                0.29765,                0.76813,               0.001948,               0.001948,               0.001948
                    246,                0.31594,                0.25027,                0.88192,                0.95097,                0.92616,                0.95588,                 0.9301,                0.29267,                 0.2877,                0.76605,               0.001915,               0.001915,               0.001915
                    247,                0.31347,                0.24831,                0.88007,                0.94474,                0.93258,                0.95444,                0.92881,                0.28772,                0.29006,                0.76665,               0.001882,               0.001882,               0.001882
                    248,                0.31119,                0.25221,                0.88214,                 0.9458,                0.93127,                0.95183,                0.92152,                0.29476,                0.29243,                0.76855,               0.001849,               0.001849,               0.001849
                    249,                0.31515,                0.25697,                0.87796,                0.95388,                0.92416,                0.95545,                0.92581,                0.28931,                0.29832,                0.76674,               0.001816,               0.001816,               0.001816
                    250,                0.31684,                0.25358,                0.88038,                0.94882,                0.91854,                0.95686,                0.92473,                 0.2897,                0.29932,                0.76218,               0.001783,               0.001783,               0.001783
                    251,                0.30718,                0.25069,                0.87655,                 0.9378,                0.93179,                0.94853,                0.92286,                0.27962,                0.29322,                 0.7597,                0.00175,                0.00175,                0.00175
                    252,                0.31463,                0.24829,                0.88138,                0.94539,                0.92978,                0.94393,                0.91738,                0.28328,                0.29923,                0.76287,               0.001717,               0.001717,               0.001717
                    253,                 0.3028,                 0.2424,                0.87717,                0.95113,                0.92936,                0.94531,                0.91662,                0.28459,                0.29153,                 0.7664,               0.001684,               0.001684,               0.001684
                    254,                0.30137,                0.24592,                 0.8848,                0.95392,                0.93539,                0.94596,                0.92007,                0.28216,                0.29779,                0.76432,               0.001651,               0.001651,               0.001651
                    255,                0.30514,                0.24992,                0.87776,                0.95023,                0.92978,                0.94427,                0.91969,                0.29345,                0.30616,                0.77072,               0.001618,               0.001618,               0.001618
                    256,                0.31317,                0.24694,                0.87829,                0.95357,                0.92298,                0.94567,                0.92137,                 0.2827,                0.30372,                0.76686,               0.001585,               0.001585,               0.001585
                    257,                0.30997,                0.25459,                0.88623,                0.95027,                0.92978,                0.94505,                0.92103,                0.27876,                0.29526,                0.76677,               0.001552,               0.001552,               0.001552
                    258,                0.30321,                0.24218,                0.87763,                 0.9484,                0.92939,                0.94457,                0.91967,                0.27897,                0.29101,                 0.7661,               0.001519,               0.001519,               0.001519
                    259,                 0.3013,                0.23807,                0.87609,                0.93483,                 0.9382,                0.94774,                 0.9253,                0.27134,                0.29466,                0.76266,               0.001486,               0.001486,               0.001486
                    260,                0.30232,                0.23867,                0.87834,                0.93052,                0.92416,                0.94774,                  0.924,                0.27702,                 0.2968,                0.76467,               0.001453,               0.001453,               0.001453
                    261,                0.29051,                0.23401,                0.87326,                0.92446,                0.92815,                 0.9468,                0.92024,                0.27858,                 0.2929,                0.76633,                0.00142,                0.00142,                0.00142
                    262,                0.29386,                 0.2385,                0.87665,                0.94561,                0.93539,                0.94906,                0.92551,                0.27268,                0.27465,                0.76318,               0.001387,               0.001387,               0.001387
                    263,                0.29206,                0.23703,                 0.8805,                0.94766,                0.93539,                0.94745,                0.92439,                0.27168,                0.27602,                0.76258,               0.001354,               0.001354,               0.001354
                    264,                0.30091,                0.23868,                0.87814,                0.95677,                0.93245,                0.94895,                0.92699,                0.27113,                 0.2775,                0.76219,               0.001321,               0.001321,               0.001321
                    265,                0.29145,                 0.2276,                0.87722,                0.95778,                0.92697,                0.94652,                0.92398,                0.27189,                0.28568,                0.76203,               0.001288,               0.001288,               0.001288
                    266,                0.29251,                0.23444,                0.88158,                0.94812,                0.92409,                0.95002,                0.92665,                0.27243,                0.29709,                0.76373,               0.001255,               0.001255,               0.001255
                    267,                0.28398,                0.22635,                0.87305,                0.95394,                0.91292,                0.94889,                0.92781,                0.26943,                0.29598,                0.76107,               0.001222,               0.001222,               0.001222
                    268,                 0.2944,                 0.2326,                0.87827,                0.93994,                0.92323,                  0.955,                0.93441,                0.27034,                0.28982,                0.75914,               0.001189,               0.001189,               0.001189
                    269,                0.28112,                0.22528,                0.87445,                0.94297,                0.92135,                0.95828,                0.93634,                0.27475,                0.28416,                0.75973,               0.001156,               0.001156,               0.001156
                    270,                0.28344,                 0.2274,                0.87249,                0.92451,                 0.9288,                0.95419,                0.93202,                0.26794,                 0.2871,                0.75975,               0.001123,               0.001123,               0.001123
                    271,                0.28374,                0.23472,                0.87843,                0.94208,                0.91377,                0.94359,                0.92163,                0.26758,                0.29781,                0.76545,                0.00109,                0.00109,                0.00109
                    272,                0.28027,                0.22633,                0.87259,                0.94504,                0.91769,                0.94204,                0.92213,                0.26983,                0.30822,                0.76463,               0.001057,               0.001057,               0.001057
                    273,                0.27737,                0.22323,                0.87124,                0.94271,                0.92442,                0.94425,                 0.9245,                 0.2621,                0.30875,                0.75976,               0.001024,               0.001024,               0.001024
                    274,                0.29131,                0.23521,                0.87746,                0.93801,                0.93514,                0.94496,                0.92573,                0.26232,                0.30478,                0.75818,               0.000991,               0.000991,               0.000991
                    275,                0.27774,                0.22509,                0.87121,                0.95324,                0.91854,                0.94766,                0.92639,                0.26584,                0.29914,                0.75922,               0.000958,               0.000958,               0.000958
                    276,                0.28198,                0.22726,                0.87749,                0.95082,                0.92314,                0.94923,                 0.9306,                0.26202,                0.29481,                0.75888,               0.000925,               0.000925,               0.000925
                    277,                0.27643,                0.22477,                0.87188,                0.95175,                0.92135,                0.94914,                0.92913,                0.26726,                0.30295,                  0.759,               0.000892,               0.000892,               0.000892
                    278,                0.27821,                0.22352,                0.87131,                0.93701,                 0.9382,                0.94963,                0.92909,                 0.2666,                0.29905,                0.75787,               0.000859,               0.000859,               0.000859
                    279,                0.27977,                0.22076,                0.86654,                0.95515,                0.92978,                0.95121,                0.92902,                0.26745,                0.29367,                0.75709,               0.000826,               0.000826,               0.000826
                    280,                0.27279,                0.21982,                0.87025,                0.94803,                0.92697,                0.95174,                0.93023,                0.26052,                0.29617,                0.75533,               0.000793,               0.000793,               0.000793
                    281,                0.27056,                0.21622,                0.87014,                0.95596,                0.92978,                0.95166,                0.93037,                0.26122,                0.29988,                0.75483,                0.00076,                0.00076,                0.00076
                    282,                0.26953,                0.21894,                0.87022,                0.94843,                0.92416,                0.95445,                0.93459,                0.25913,                0.29834,                0.75479,               0.000727,               0.000727,               0.000727
                    283,                0.26761,                 0.2139,                0.87158,                0.95162,                0.92416,                0.95584,                0.93694,                0.25316,                0.28905,                 0.7541,               0.000694,               0.000694,               0.000694
                    284,                0.27154,                0.21856,                0.87411,                0.95568,                0.92978,                0.95252,                0.93357,                0.24799,                0.28875,                0.75435,               0.000661,               0.000661,               0.000661
                    285,                 0.2748,                0.21704,                0.87263,                0.94743,                0.92978,                0.95065,                0.93283,                0.24995,                0.29189,                 0.7583,               0.000628,               0.000628,               0.000628
                    286,                0.26644,                0.21253,                0.86975,                0.94822,                0.92597,                0.95158,                0.93126,                0.25399,                0.29528,                0.75862,               0.000595,               0.000595,               0.000595
                    287,                0.26557,                0.22036,                0.87258,                0.94082,                0.92697,                0.95238,                0.93285,                0.25345,                0.29188,                0.75769,               0.000562,               0.000562,               0.000562
                    288,                0.26348,                0.21378,                0.87313,                0.93808,                0.92416,                0.95252,                0.93335,                0.25189,                0.29482,                0.75735,               0.000529,               0.000529,               0.000529
                    289,                 0.2632,                0.21172,                0.87407,                0.94277,                0.92548,                0.95269,                0.93408,                0.25313,                 0.2976,                0.75633,               0.000496,               0.000496,               0.000496
                    290,                0.21283,                 0.1686,                0.82576,                0.95323,                0.91573,                0.95118,                0.92984,                0.25399,                0.29216,                0.76009,               0.000463,               0.000463,               0.000463
                    291,                0.20585,                0.16351,                0.82239,                 0.9454,                0.92416,                0.94749,                0.92436,                0.25974,                 0.2868,                0.76242,                0.00043,                0.00043,                0.00043
                    292,                0.20289,                0.15847,                0.82153,                0.93769,                0.93539,                0.94527,                0.91959,                 0.2645,                0.28961,                0.76032,               0.000397,               0.000397,               0.000397
                    293,                0.19737,                0.15765,                0.81876,                0.94321,                0.93299,                 0.9489,                0.92516,                0.26309,                0.28894,                 0.7596,               0.000364,               0.000364,               0.000364
                    294,                0.19378,                0.15406,                0.82334,                0.95392,                0.91573,                0.94954,                0.92592,                0.26229,                0.28284,                 0.7592,               0.000331,               0.000331,               0.000331
                    295,                  0.188,                0.15102,                0.82101,                0.93801,                0.92697,                0.95053,                0.92947,                0.26054,                0.28341,                0.75973,               0.000298,               0.000298,               0.000298
                    296,                0.18917,                0.15154,                0.82123,                 0.9572,                0.91573,                 0.9524,                 0.9326,                0.25931,                0.28536,                0.76081,               0.000265,               0.000265,               0.000265
                    297,                0.19242,                0.14407,                0.81683,                0.94836,                0.92978,                0.95181,                0.93051,                0.25673,                 0.2842,                  0.761,               0.000232,               0.000232,               0.000232
                    298,                0.18012,                0.14231,                0.81033,                0.95384,                0.93539,                0.95488,                0.93355,                 0.2554,                0.27465,                 0.7606,               0.000199,               0.000199,               0.000199
                    299,                0.17665,                0.13928,                0.81642,                0.95391,                0.93018,                0.95534,                0.93338,                0.25248,                 0.2709,                0.75968,               0.000166,               0.000166,               0.000166
